,xgb1,xgb2,xgb3,xgb4,xgb5,y_test
2774,1,1,1,2,2,2
4768,1,2,2,2,2,2
8783,0,0,0,0,0,0
3274,1,1,1,1,1,2
426,1,1,1,1,1,1
6889,1,1,1,1,1,1
4924,1,1,1,1,1,1
8165,0,0,0,0,1,0
1057,1,1,1,1,1,2
2173,1,1,1,1,1,2
1727,1,1,1,1,1,1
2407,1,1,1,2,1,2
3245,1,1,1,1,1,1
1474,1,1,1,1,1,1
6201,1,1,1,2,2,1
1374,0,0,0,0,0,0
1651,1,1,1,1,1,1
8254,1,2,2,2,2,1
6998,1,1,1,1,1,1
3392,0,0,0,0,0,0
4638,1,1,1,1,1,2
6726,1,1,1,1,1,1
8709,1,1,1,2,1,1
658,1,1,1,1,1,1
795,0,0,0,0,0,0
8893,1,1,1,1,2,2
344,1,1,2,2,2,1
9334,1,1,1,2,1,1
3174,1,1,0,0,0,1
9266,0,0,0,0,0,0
10274,1,1,0,0,0,1
5541,1,1,1,1,1,1
4730,0,0,0,0,1,0
7428,1,2,2,2,1,1
9879,1,1,1,1,1,2
4358,1,1,1,1,1,1
4076,1,1,1,1,2,2
7376,1,1,1,1,2,1
2974,1,1,1,1,1,1
1579,1,1,1,1,1,1
1119,1,1,1,2,2,1
7245,1,1,1,1,2,1
5243,1,1,1,1,1,1
5669,1,1,1,1,1,1
869,1,1,1,1,1,2
9694,1,1,1,1,1,1
5697,2,2,2,1,1,2
7610,1,1,0,1,1,1
6340,1,1,1,1,1,1
5201,1,1,1,1,1,1
6017,1,1,1,1,1,1
476,1,1,1,2,2,1
2642,1,1,1,1,1,1
459,1,1,1,1,1,1
1113,1,1,1,1,1,1
9753,1,1,1,1,1,1
6166,1,1,1,1,1,2
2631,0,0,0,0,0,0
125,1,2,2,2,1,0
1233,0,0,0,0,0,1
8074,1,2,2,2,2,1
822,1,1,1,1,1,1
8175,0,0,0,0,0,0
9178,1,1,1,1,2,2
9733,1,1,2,2,2,1
4641,1,1,2,2,2,1
179,1,1,1,1,1,1
2907,1,2,2,2,2,1
7740,0,0,0,0,0,0
6117,1,1,1,1,1,1
5687,1,1,2,2,2,2
2190,1,1,1,1,1,0
6389,1,1,1,2,2,2
3304,1,1,2,2,2,1
8779,1,1,0,1,1,1
4423,1,1,1,1,1,1
4198,1,1,1,1,1,2
9700,2,2,2,2,2,2
375,1,1,1,1,1,2
2441,1,1,1,1,2,1
645,1,1,1,1,1,2
1606,1,1,1,1,1,2
1360,1,1,2,2,1,1
3298,1,1,1,1,1,1
8251,0,0,0,0,0,1
5428,1,1,1,1,2,2
4257,1,1,2,1,2,1
5049,1,1,1,1,1,1
4537,1,1,2,1,2,2
8583,1,1,1,1,1,1
551,1,1,1,1,1,1
9559,1,1,1,1,1,2
1750,1,1,1,1,2,1
5744,1,1,2,2,1,1
1162,1,1,1,1,1,2
6969,1,1,1,1,1,1
4403,1,1,1,1,1,1
3767,1,1,1,1,1,1
1837,1,1,1,1,1,1
2207,0,0,0,0,0,0
6492,1,1,1,1,1,2
6988,1,1,1,2,2,2
9875,1,1,1,1,1,2
9960,1,1,1,1,1,2
3040,1,1,2,1,1,1
7108,1,1,1,1,2,1
1753,1,1,1,2,2,2
5457,0,0,0,0,0,0
5760,1,1,1,1,1,2
6825,1,1,1,1,1,1
8216,2,2,2,2,2,1
3579,1,1,1,1,1,1
4996,1,1,1,2,2,1
1015,0,0,0,1,1,0
4828,1,1,1,2,1,2
10343,1,1,1,1,1,1
9396,1,1,1,1,2,0
7103,1,1,1,1,2,1
6448,1,2,2,2,2,2
2878,1,1,1,1,1,1
7037,1,1,1,1,1,1
5252,1,1,1,1,1,2
1738,1,1,1,1,1,1
668,1,1,1,1,1,2
2402,1,1,1,1,1,1
3387,1,1,1,1,1,1
5307,1,1,1,2,2,2
1285,1,1,1,1,1,1
8692,1,1,1,1,1,1
6091,1,1,1,1,1,0
995,1,1,1,1,2,1
5032,1,1,1,2,2,2
6708,1,1,1,1,1,2
6660,1,1,1,1,1,1
6414,1,1,1,2,2,1
587,1,1,1,1,1,1
8602,1,1,1,1,1,1
6652,0,0,0,0,0,0
6993,1,1,1,1,1,1
4270,1,1,1,2,2,1
4003,1,1,1,1,1,1
9150,1,1,1,1,1,1
10195,1,2,2,1,1,2
5807,1,2,2,2,2,1
3806,1,1,0,0,0,1
8466,1,1,0,0,1,2
8495,1,1,1,1,1,2
3246,1,1,1,1,1,1
838,1,1,1,1,1,1
5961,1,1,1,1,1,2
5582,0,0,0,0,0,1
1822,0,0,0,0,0,0
1805,0,0,0,0,0,0
272,1,1,1,1,1,1
2074,1,1,1,1,1,1
2564,1,1,1,1,1,1
4467,1,1,1,1,1,1
535,0,0,0,0,2,0
8529,0,0,0,0,0,0
1059,1,1,1,1,1,2
5793,1,1,1,1,1,1
9693,1,1,1,1,1,2
5101,1,1,1,1,1,0
2050,1,1,1,1,2,2
1647,0,0,0,0,0,0
1682,0,0,0,0,0,0
7027,1,1,1,1,1,1
5598,1,1,1,1,1,1
9120,1,1,1,1,1,1
4653,1,1,1,1,1,1
8622,0,0,0,0,0,0
7309,1,1,1,1,1,2
5894,1,1,1,1,1,1
3801,2,2,2,2,2,2
404,1,1,1,1,1,1
4818,1,1,1,1,1,2
10339,1,1,1,1,1,1
6278,1,1,1,1,1,1
6634,1,1,1,1,2,1
10202,1,1,1,1,1,2
1224,0,0,0,0,0,0
9744,1,1,1,1,1,1
7232,1,1,2,2,2,2
7559,1,1,1,1,1,1
8163,1,1,1,1,1,2
4611,1,1,1,1,1,1
9155,1,1,1,2,2,1
653,1,1,1,2,2,2
1900,0,0,0,0,0,0
7945,1,1,2,2,2,2
4761,2,2,2,2,2,2
3825,1,1,1,1,1,1
900,1,1,1,1,1,1
1336,1,1,1,1,2,1
4095,1,1,2,2,2,1
8587,1,1,1,1,2,2
9709,1,1,1,1,2,1
8731,1,1,1,1,2,1
616,1,1,1,1,1,1
7687,1,1,0,2,2,1
2139,1,1,2,2,2,2
1586,0,0,0,0,0,0
1025,1,1,1,2,2,2
9254,1,1,1,1,1,1
9041,1,1,1,2,2,1
4581,1,1,1,1,1,1
1486,1,1,1,1,2,1
4400,1,1,1,1,1,1
3345,1,1,2,2,2,2
9256,1,1,1,1,2,2
4648,1,1,1,1,2,1
3558,1,1,2,2,2,1
9796,1,1,1,1,1,1
9706,1,1,1,1,1,1
7204,1,1,1,1,1,0
8235,1,1,2,2,2,1
8804,1,1,1,1,1,0
8196,1,1,1,2,2,2
5069,0,0,0,0,0,0
9903,0,0,0,0,0,0
7344,1,1,1,1,1,2
4165,1,1,1,2,1,1
3447,1,1,2,2,2,2
10030,0,0,0,0,0,0
8463,1,1,1,1,1,1
5798,1,1,1,1,2,1
2274,1,2,2,1,1,1
3222,1,1,1,1,2,2
1035,2,2,2,2,2,2
2938,1,1,2,2,1,1
7131,1,1,1,2,2,2
3386,1,1,1,1,1,2
1381,0,0,0,0,0,0
5419,1,1,1,1,1,1
4182,1,1,1,1,1,2
1755,1,1,1,1,1,1
3766,1,1,1,1,1,1
9726,1,1,1,2,2,2
10,1,1,1,1,1,2
1771,1,1,1,1,1,1
2494,1,1,1,2,2,2
331,0,0,0,0,0,1
1916,1,1,1,1,2,2
4627,1,2,2,2,2,2
7274,1,1,1,1,1,2
569,1,1,1,1,1,1
5925,1,1,1,2,2,1
852,1,1,1,1,1,0
9062,1,1,0,0,1,2
10020,1,1,1,1,1,1
7432,1,1,1,1,2,2
1770,1,1,1,1,1,2
6985,1,1,1,2,2,2
7970,1,1,1,1,1,1
9852,1,1,1,1,1,1
197,1,1,1,1,1,1
9828,1,1,1,1,1,1
6189,1,1,1,1,1,1
7553,1,1,1,1,1,2
8477,1,1,1,1,1,1
9921,0,0,0,0,2,0
8792,1,1,1,1,1,1
8904,1,1,1,2,2,1
2479,1,1,1,1,1,1
3324,1,2,2,2,2,2
4031,1,1,1,2,2,2
3677,1,1,1,1,1,1
5035,1,1,1,1,1,1
1096,1,1,1,1,1,1
7179,1,1,1,1,1,2
3063,1,1,1,1,1,2
8630,1,1,1,2,1,2
4804,1,1,1,2,2,1
2064,1,1,1,1,1,1
909,1,1,1,1,1,2
9844,1,1,1,1,1,2
9780,1,1,1,1,1,1
186,1,1,1,1,1,1
182,1,1,2,2,2,1
6167,1,1,2,2,2,1
1091,1,1,1,2,2,2
8924,1,1,1,1,1,0
1173,1,1,1,2,2,1
8881,0,0,0,0,0,0
6649,1,1,1,1,1,1
3356,1,1,2,2,2,1
8356,1,1,1,2,2,1
3110,1,1,1,1,1,2
6884,1,1,1,1,2,2
10052,1,1,1,1,2,1
9358,1,1,2,2,2,1
2483,1,1,1,1,2,1
9894,1,2,2,1,1,1
860,1,1,1,1,2,2
7095,1,1,1,1,1,2
9767,1,1,1,1,1,0
8784,1,1,1,1,2,1
1875,1,1,2,2,2,2
218,1,1,1,1,1,1
5634,1,1,1,1,1,1
6400,1,1,1,1,1,2
2312,1,2,2,2,2,2
7283,1,1,1,1,1,1
8712,1,1,1,1,1,1
6546,1,1,2,2,2,2
1956,1,1,1,1,1,1
215,1,1,1,1,1,1
7765,1,1,2,2,2,1
178,1,1,1,1,1,1
3498,1,1,1,1,1,2
887,1,1,1,1,1,2
9326,1,1,1,1,1,1
8876,1,1,1,1,1,1
1619,1,1,0,2,2,1
10150,1,1,1,2,1,1
9493,1,1,2,2,1,1
1993,1,1,1,1,2,1
9691,1,1,1,1,1,1
8049,1,1,1,1,1,2
1653,1,1,1,1,1,1
4516,1,1,1,1,1,2
3013,1,1,1,1,1,2
5945,1,1,1,1,1,1
8964,1,1,1,1,1,1
7339,1,1,1,1,1,1
9695,1,1,2,2,2,1
4762,1,1,1,2,2,1
9370,1,1,1,2,1,1
7109,1,1,1,1,1,1
8789,1,1,1,1,1,2
6915,1,1,1,1,1,0
1428,1,1,1,1,1,1
5033,1,1,1,2,2,2
2216,1,1,1,1,1,2
2334,1,1,1,1,2,2
1879,1,1,1,1,2,2
4106,1,1,1,1,1,1
2761,1,1,1,1,1,2
1368,0,0,0,0,0,0
2966,1,1,1,2,2,1
231,1,1,1,1,1,1
4017,1,1,1,2,2,1
7735,1,1,1,1,1,1
1094,1,1,1,1,1,1
1297,0,0,0,0,0,1
5135,1,1,1,1,1,1
321,1,1,1,1,2,1
5736,1,1,1,1,1,1
4480,1,2,2,1,2,2
7629,1,1,1,2,1,2
1234,1,1,1,1,1,2
7805,1,1,2,2,2,1
3973,0,0,0,0,2,0
8742,1,2,2,2,2,2
4901,1,1,1,2,1,2
5625,0,0,0,0,0,0
1244,1,1,1,1,2,1
9340,1,1,1,1,1,1
5778,1,1,1,1,1,1
8892,1,1,1,1,1,1
7797,0,0,0,0,0,0
7539,1,1,1,1,1,2
32,0,0,0,0,0,0
5490,1,1,1,1,1,2
7594,1,2,2,2,2,1
251,1,1,1,2,1,1
7884,1,2,2,2,2,2
6762,1,1,1,1,1,1
10341,1,1,1,1,1,2
7708,1,1,1,1,1,1
2530,1,1,1,1,1,2
129,1,1,1,1,1,1
7564,1,1,1,1,1,2
1276,1,1,1,2,2,2
7473,1,1,1,1,1,1
4686,1,1,1,1,1,1
9841,0,0,0,0,0,0
7404,1,1,1,1,1,2
3979,1,1,2,2,2,1
5560,1,1,1,1,1,2
8106,1,1,1,1,1,2
1423,1,1,1,1,1,1
157,0,0,0,0,0,0
2908,1,1,1,2,2,1
10335,1,1,1,1,1,2
5271,1,1,1,1,1,2
2490,0,0,0,0,0,0
2571,1,1,1,1,1,2
4868,1,1,1,1,1,1
7004,1,1,1,1,1,1
1323,1,1,1,1,2,1
2165,1,1,1,2,2,1
5200,1,1,1,1,1,1
9353,1,1,1,1,1,1
6526,1,1,1,1,1,2
2263,1,1,1,1,1,1
8044,1,1,1,1,1,1
5752,1,1,2,2,1,1
10200,1,1,2,1,1,2
7328,1,1,1,1,1,1
1515,1,1,1,1,2,1
8581,1,1,1,1,1,1
6701,1,1,1,1,1,1
276,1,1,1,1,1,1
3019,0,0,0,0,0,0
8031,1,1,1,1,1,2
10263,1,1,1,1,1,2
579,1,1,2,2,2,1
4231,1,1,1,1,1,1
9099,1,1,1,1,1,1
8553,1,1,1,1,1,1
7614,1,1,1,1,1,1
1724,1,1,1,1,1,0
307,1,1,1,1,1,2
4265,0,0,0,0,0,0
3965,1,1,1,1,2,2
9817,1,1,2,2,2,2
7121,1,1,1,1,1,1
283,1,1,1,1,1,1
7562,1,1,1,1,2,1
9026,1,1,1,1,1,0
5680,1,1,1,1,1,1
3400,1,1,1,1,1,1
5151,1,1,1,1,1,1
8914,1,1,2,2,2,1
7589,1,1,1,1,1,1
2408,1,1,1,1,2,1
410,1,1,1,1,2,2
7343,1,1,1,1,1,2
6761,1,1,1,2,2,1
2640,1,1,1,1,1,1
7209,1,1,1,2,1,1
6693,1,1,1,2,2,2
2154,1,1,1,1,1,1
9631,1,1,1,2,2,1
2748,1,1,1,2,2,2
8162,1,1,1,2,0,1
1302,1,1,1,1,1,1
5616,1,1,1,1,1,1
5737,0,0,0,0,0,0
3894,1,1,1,1,2,1
2002,1,1,1,1,2,2
786,1,1,1,1,1,1
1933,1,1,2,2,2,1
6489,0,0,0,0,0,2
374,1,1,1,1,1,2
6479,1,1,1,1,1,2
10056,1,1,1,1,1,1
2471,1,1,1,1,1,1
4826,1,1,1,1,1,1
8448,1,1,1,1,1,2
1072,1,1,1,1,1,2
8038,1,1,1,1,1,1
2142,0,0,0,0,0,0
7691,1,1,1,1,1,2
9336,1,1,2,2,2,1
3441,1,1,1,1,2,1
837,1,1,1,1,1,1
8984,1,1,1,1,1,2
5242,1,1,2,2,2,2
279,2,2,2,2,2,2
7665,1,1,2,2,2,1
9034,1,1,1,1,1,1
10271,1,2,2,1,1,2
1539,1,1,1,2,2,1
8592,1,1,2,2,2,2
7960,1,1,1,2,2,1
219,1,1,1,1,1,1
9800,1,1,2,2,2,1
1509,1,1,1,1,1,2
7590,1,1,1,2,2,1
1819,1,1,1,1,0,2
6562,1,1,1,1,1,1
10209,1,1,1,1,2,2
5897,1,2,1,1,2,2
9982,1,1,1,2,2,1
9024,1,1,1,2,2,2
2719,2,2,2,2,2,2
3785,1,1,2,2,2,1
4137,1,1,1,1,1,2
7913,0,0,0,0,0,0
4957,1,1,2,2,2,1
6826,1,1,1,1,1,1
3272,1,1,1,1,1,1
9082,1,1,1,1,1,1
4592,1,1,0,1,0,1
10251,0,0,0,0,0,0
1473,1,1,1,1,1,2
662,1,1,1,1,1,1
9821,1,1,1,1,1,1
8873,1,1,1,2,2,0
3126,1,1,1,1,1,1
7314,2,2,2,2,2,2
5844,1,1,1,1,1,1
7597,1,1,1,1,1,1
8814,1,1,1,1,1,2
8207,0,0,0,0,1,1
6901,0,0,0,0,0,0
9181,1,1,1,1,1,1
9116,1,1,1,1,2,2
825,1,1,1,1,1,1
5123,1,2,2,2,2,2
9855,1,1,2,2,2,2
1164,1,1,2,2,2,2
7158,1,1,1,1,1,1
976,1,1,1,1,1,1
7851,1,1,1,1,1,2
4269,0,0,0,0,0,0
4190,0,0,0,0,0,0
4969,1,1,2,2,2,1
695,1,1,1,1,1,1
9360,1,1,1,1,1,2
699,1,1,1,1,1,2
2768,1,1,1,1,1,1
4451,1,1,1,1,1,2
9846,0,0,0,0,0,2
3577,1,1,1,1,1,2
1203,1,1,1,1,1,0
4103,1,1,1,1,2,1
2692,1,1,1,2,2,2
3351,1,2,2,1,2,1
1121,1,1,1,2,2,1
6195,1,1,1,1,2,1
9069,1,1,1,1,1,1
6436,1,1,1,1,1,1
4365,1,1,1,1,1,1
5359,1,1,1,1,1,0
8390,0,0,0,0,0,1
4012,1,1,1,1,1,1
8336,1,1,1,2,2,2
7883,1,1,1,1,1,1
4843,1,1,1,1,1,1
3957,1,1,1,1,1,1
3265,1,1,1,1,1,1
3698,2,2,2,2,2,1
7115,0,0,0,0,0,0
8061,1,1,1,1,1,1
7351,0,0,0,0,0,0
1287,1,1,1,1,2,1
6811,1,1,1,1,2,1
3155,1,1,1,1,1,2
7859,1,1,2,1,2,2
135,1,1,1,1,1,1
4453,1,1,1,1,2,2
540,1,1,2,1,2,1
3710,1,1,1,1,1,2
1943,1,1,1,1,1,2
1877,0,0,0,0,0,2
8298,1,1,0,0,0,1
6718,1,1,1,2,2,2
7177,1,1,2,2,2,2
8933,1,1,2,2,2,2
4281,1,1,1,1,1,1
8234,1,1,1,1,1,1
6892,1,1,1,1,1,1
4237,1,1,1,1,1,1
4563,1,1,1,1,2,1
3402,1,1,1,1,1,1
7587,1,1,1,1,2,1
9770,1,1,1,1,1,1
3352,1,1,1,1,1,1
6591,1,1,1,1,1,2
7437,1,1,2,2,2,1
7053,0,0,0,1,1,0
411,1,1,1,1,1,1
9652,0,0,0,0,0,0
381,1,1,1,1,1,1
3794,1,1,1,2,2,2
6589,1,1,1,1,1,1
5985,1,1,1,1,1,0
9735,1,1,1,1,1,2
2148,1,1,1,1,1,2
2104,1,1,1,1,1,2
4040,1,1,1,2,1,2
1845,1,1,1,1,1,1
4007,1,1,1,1,1,1
6048,1,1,1,1,1,1
4045,1,1,1,1,1,1
5493,1,1,1,1,1,0
8650,1,2,2,2,2,2
8667,1,1,1,1,1,1
2084,1,1,0,1,1,1
1966,1,1,1,0,0,1
1559,1,1,2,1,1,2
9205,1,1,2,2,2,1
2981,1,1,1,1,1,1
9096,1,1,1,1,1,1
142,0,0,0,0,0,1
4469,0,0,0,0,0,0
1396,1,1,2,1,1,1
2010,1,1,1,2,2,1
1838,1,1,1,1,1,0
1067,1,1,1,1,1,1
2906,1,1,2,1,1,1
194,1,1,0,0,0,1
6588,1,1,1,1,1,1
6767,1,1,2,2,2,1
7257,1,1,1,1,2,1
6766,1,1,1,1,1,1
5614,1,1,1,1,1,1
3940,1,1,1,1,1,1
6287,1,2,2,2,1,1
935,1,1,1,1,1,0
9384,0,0,0,0,0,0
1985,1,1,1,1,1,2
132,1,1,2,2,2,1
6303,1,1,1,1,1,0
1605,1,2,1,1,1,1
919,1,1,1,1,1,1
10068,1,1,1,1,1,1
9218,0,0,0,0,0,0
9819,1,1,1,2,2,1
9365,1,1,1,1,1,2
6819,0,0,0,0,0,2
6419,1,1,1,2,2,1
918,1,1,1,1,1,1
103,0,0,0,0,1,2
2737,1,1,2,2,1,1
4582,2,2,2,2,2,2
7538,1,1,1,1,1,1
8929,1,1,1,1,2,1
4111,1,1,1,1,1,1
252,1,1,1,2,1,1
1631,1,1,1,1,2,2
2367,1,1,1,1,2,1
1184,1,1,1,1,1,1
7254,1,1,1,1,1,1
3199,1,1,1,1,2,2
355,1,1,2,2,2,1
6968,0,0,0,0,1,0
1259,1,1,1,1,1,2
6785,1,2,2,1,2,1
2899,1,1,1,1,1,1
9911,1,1,1,1,1,1
6220,1,1,1,1,1,1
8188,1,1,1,1,2,1
1329,1,1,1,1,1,1
9040,1,1,1,1,1,1
4348,1,1,1,1,2,2
1456,0,0,0,0,0,2
3047,1,1,1,1,1,1
4564,1,1,1,1,1,1
5745,1,1,1,1,1,2
8458,1,1,1,1,1,1
1099,1,1,2,1,2,2
3214,1,1,1,1,1,1
2228,1,1,1,1,2,1
2593,1,1,1,1,1,1
2360,1,1,1,1,2,2
5848,0,0,0,0,0,0
2363,1,1,1,1,1,1
9611,1,1,1,1,1,2
5699,1,1,1,2,2,2
5632,1,1,1,1,1,1
3695,1,1,1,1,2,2
8829,1,1,1,1,1,2
7434,1,1,1,1,2,1
3804,1,1,0,0,0,1
1553,1,1,1,1,1,1
4570,1,1,1,1,1,0
10008,1,1,1,2,2,2
5834,1,1,1,1,1,1
6757,1,1,1,1,1,1
3705,1,1,1,1,1,1
7895,1,1,1,2,2,1
6198,1,1,1,1,2,2
120,1,1,1,2,2,2
6279,0,0,0,0,0,0
144,1,1,2,1,1,1
8822,1,1,1,1,2,2
2488,1,1,1,1,2,2
8047,1,1,1,1,1,1
7666,0,0,0,0,0,0
8530,1,1,1,1,1,1
3675,1,1,1,1,1,1
8866,0,0,0,0,0,0
8735,1,1,1,1,1,1
10077,1,1,1,1,1,1
6732,0,0,0,0,0,0
6684,1,1,1,2,1,2
5366,1,1,1,1,1,1
6794,1,1,2,2,2,1
6504,1,1,1,1,0,2
6582,1,1,1,2,2,2
9406,1,1,1,1,1,1
3009,1,1,1,1,1,1
6548,1,1,1,1,1,1
7247,1,1,1,1,1,1
1519,1,1,1,1,1,1
6733,1,1,1,1,1,1
8303,1,1,1,1,1,1
4396,0,0,0,0,0,2
3983,1,1,1,1,2,1
5038,1,1,1,1,1,1
263,0,0,0,0,0,0
5523,1,1,1,1,1,1
4313,1,1,1,1,1,1
9085,1,1,1,1,1,2
6590,1,1,1,2,2,2
9145,1,1,0,1,1,1
5920,1,1,1,1,1,1
9119,1,1,1,1,2,1
323,1,1,1,1,1,2
8120,0,0,0,0,0,0
4643,1,1,1,1,1,2
6584,1,1,1,1,1,1
5335,1,1,1,2,2,2
7705,1,1,1,1,1,1
8726,1,1,1,1,1,1
2862,1,1,1,1,1,2
5660,1,1,1,2,1,2
1921,1,1,1,2,2,1
7219,1,1,1,1,1,1
4337,0,0,0,0,0,0
1176,1,1,1,1,1,2
1598,1,1,0,0,1,2
7324,0,0,0,0,0,0
9625,0,0,0,0,0,0
526,1,1,1,1,1,2
8256,1,1,1,1,1,1
4550,1,1,1,2,2,1
8090,1,1,1,1,1,2
3905,1,1,1,2,1,2
2811,1,1,1,1,1,1
2168,1,1,1,0,0,1
4633,1,1,0,0,0,0
1144,1,2,2,1,2,2
1292,1,1,1,1,1,0
9437,1,1,1,1,2,2
8716,0,0,0,0,0,0
3829,1,1,1,1,1,1
3626,1,1,1,0,1,2
3726,1,1,1,1,1,1
4342,1,1,1,1,1,1
9654,1,1,1,1,1,1
8768,1,1,1,1,1,2
6343,1,1,1,1,1,1
6257,1,1,1,1,1,1
7444,1,1,1,1,1,1
9915,1,1,1,1,1,1
3104,0,0,0,0,2,0
9624,1,1,2,2,1,1
1446,1,1,1,1,1,2
7090,2,2,2,2,2,2
9956,1,1,1,1,1,1
6738,1,1,1,1,1,1
7810,1,1,2,2,2,2
7081,0,0,0,0,0,0
7015,1,1,1,1,1,2
2756,1,1,1,1,1,1
3820,1,1,1,1,1,2
3593,1,1,1,1,1,0
9601,1,1,1,1,1,1
1844,1,1,1,1,1,2
9335,1,1,1,1,1,1
1172,2,2,2,1,1,2
9169,1,1,2,2,2,1
8344,1,1,2,2,1,1
10151,1,1,1,1,1,2
1800,1,1,1,1,1,1
6520,1,1,1,1,1,1
4293,1,1,1,1,1,1
1644,1,1,1,1,1,1
2623,1,1,1,1,1,2
1006,1,1,1,1,1,1
8211,1,2,2,2,2,2
703,1,1,1,1,1,1
6197,1,1,1,1,2,1
1898,1,1,1,1,1,2
3122,1,1,1,1,1,1
7656,1,1,1,1,1,1
1648,1,1,1,1,1,2
7701,1,1,1,1,1,1
5933,1,1,1,1,1,1
8973,1,1,2,1,1,2
745,0,0,0,0,0,0
10268,1,2,2,2,1,1
4226,1,1,1,2,2,1
9867,1,1,1,1,1,2
93,1,1,1,1,2,2
3770,1,2,1,1,1,1
8409,1,1,1,1,1,1
8900,1,1,1,2,2,1
2376,1,1,1,1,2,1
9084,1,1,2,2,2,1
3311,1,1,1,1,2,1
2146,1,1,1,1,2,1
5605,1,1,2,2,2,1
2784,1,1,0,0,0,2
5405,1,1,2,1,1,2
9440,1,1,1,1,1,1
1566,1,1,1,1,1,1
716,1,1,1,1,1,0
9215,0,0,0,0,1,0
2510,1,1,1,1,1,1
6087,1,1,1,1,1,2
1382,1,1,1,2,2,1
1789,1,1,1,2,2,2
876,1,1,1,1,1,2
4568,1,1,2,2,2,1
106,2,2,2,1,2,2
9615,1,1,2,2,1,2
1667,1,1,1,1,1,1
9523,1,1,1,1,1,1
4466,1,1,1,1,2,1
8545,1,2,2,2,1,2
501,1,2,2,1,1,1
47,1,1,1,1,1,1
4078,1,1,1,1,1,1
1387,1,1,1,1,1,1
1880,1,1,1,1,1,1
6077,1,1,1,1,1,1
6945,1,1,1,1,1,2
8613,0,0,0,0,0,0
736,1,1,1,1,1,1
3349,1,1,1,1,2,1
4515,1,1,1,1,1,1
2779,0,0,0,0,0,1
5357,1,1,1,1,1,1
3612,1,1,1,1,2,1
5574,1,1,1,1,1,1
9725,1,2,2,1,1,2
1371,1,1,1,1,1,1
1324,1,1,1,1,2,1
6217,1,1,1,1,1,1
5026,1,2,1,1,2,2
2854,1,1,1,1,1,1
2081,1,1,1,1,1,1
4316,1,1,1,2,2,1
180,1,1,1,2,1,1
8153,1,1,1,1,1,1
9642,1,1,2,2,1,2
543,1,1,1,1,1,1
6847,1,1,1,1,1,1
7321,1,1,1,1,1,0
5083,1,1,1,1,1,1
3706,1,1,1,1,1,0
5682,1,1,1,1,1,2
6273,1,1,2,2,2,1
6606,1,1,1,1,1,0
1592,1,1,1,1,1,2
706,0,0,0,0,0,0
10303,0,0,0,0,0,0
7119,1,1,1,1,1,1
3511,1,1,1,1,1,1
3323,1,1,1,1,1,1
10239,1,1,1,1,1,1
6440,1,1,1,1,1,2
9138,1,1,1,1,1,1
1208,1,1,1,1,1,1
2802,1,1,1,1,1,2
3633,1,1,1,2,2,1
5564,1,1,1,1,1,1
9822,1,1,1,0,0,1
9503,1,1,1,1,2,1
6916,1,2,2,2,2,2
160,1,1,1,2,2,1
9196,1,1,1,1,1,1
1101,1,1,1,1,1,2
4162,1,1,1,1,1,1
3482,1,1,1,1,1,1
109,1,1,2,2,2,1
10079,1,1,1,1,2,2
9035,1,1,1,1,1,1
